,name,link,comments,Tomato Type,Breed,Season,Leaf Type,Plant Type,Plant Height,Fruit Size,Fruit Shape,Skin Color,Flesh Color,Taste,Comments,Origin,History,Usage,Availability,Disease Resistance,Flaws
407,Hard Rock,https://njaes.rutgers.edu/tomato-varieties/variety.php?Hard+Rock,,Garden,Hybrid,Mid,Narrow,Determinate,,3 oz.,Blocky,Red,Red,,Firm fruit with acid flavor?,,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Nematodes",
408,Harlequin,https://njaes.rutgers.edu/tomato-varieties/variety.php?Harlequin,,Specialty,Hybrid,Late,Normal,Indeterminate,8 ft.,0.8 oz.,Grape,Red,Red,,,,,,,,
409,Harless Creek Gold,https://njaes.rutgers.edu/tomato-varieties/variety.php?Harless+Creek+Gold,,,Open Pollinated,Mid,,Indeterminate,6 ft.,16 oz.,Beefsteak,Orange,Orange,,,,,,,,
410,Hartman's Yellow Gooseberry,https://njaes.rutgers.edu/tomato-varieties/variety.php?Hartman's+Yellow+Gooseberry,,Heirloom,Open Pollinated,Mid,Narrow,Indeterminate,7 ft.,1 inch,Cherry,Yellow,Yellow,Sweet,,,Originally from the J. M. Hartman and Daughters Seed Company.,,,,
411,Hawaiian Pineapple,https://njaes.rutgers.edu/tomato-varieties/variety.php?Hawaiian+Pineapple,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,6 ft.,14 oz.,Beefsteak,Orange,Bi-color,,,,,,,,
412,Health Kick,https://njaes.rutgers.edu/tomato-varieties/variety.php?Health+Kick,,,Hybrid,Mid,Narrow,Determinate,4 ft.,6 oz.,Plum,Red,Red,,50% more lycopene.,,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2, Alternaria Stem Canker",
413,Heinz 1370,https://njaes.rutgers.edu/tomato-varieties/variety.php?Heinz+1370,,Commercial,Open Pollinated,Mid,Normal,Determinate,4 ft.,6 oz.,Round,Red,Red,,"Excellent for ketchup, purees, and sauces.",,,,,,
414,Heinz 1439,https://njaes.rutgers.edu/tomato-varieties/variety.php?Heinz+1439,,Commercial,Hybrid,Mid,Normal,Determinate,5 ft.,6 oz.,Round,Red,Red,,"Heavy yields, crack resistant, developed by Heinz for ketchup, VF",,,,,,
415,Heirloom Green,https://njaes.rutgers.edu/tomato-varieties/variety.php?Heirloom+Green,,Heirloom,Hybrid,Mid,Normal,Indeterminate,6 ft.,12 oz.,Flattened Globe,Green,Green,,,,,,,,
416,Heirloom Orange,https://njaes.rutgers.edu/tomato-varieties/variety.php?Heirloom+Orange,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,7 ft.,12 oz.,Beefsteak,Orange,Orange,,,,,,,,
417,Helix,https://njaes.rutgers.edu/tomato-varieties/variety.php?Helix,,Garden,Hybrid,Early,Normal,Indeterminate,6 ft.,0.5 oz.,Cherry,Red,Red,,"Good balance of sweet and savory, resistant to late blight",,,,,,
418,Heritage,https://njaes.rutgers.edu/tomato-varieties/variety.php?Heritage,,Garden,Hybrid,Mid,Normal,Indeterminate,5 ft.,16 oz.,Beefsteak,Red,Red,,,,,,,,
419,High Carotene,https://njaes.rutgers.edu/tomato-varieties/variety.php?High+Carotene,,,Open Pollinated,Mid,Narrow,Indeterminate,5 ft.,3 oz.,Round,Red,,,2-3 times more beta carotene than others.,,,,,,
420,Hillbilly,https://njaes.rutgers.edu/tomato-varieties/variety.php?Hillbilly,,Heirloom,Open Pollinated,Late,Potato,Indeterminate,8 ft.,12 oz.,Beefsteak,Bi-color,Bi-color,,Yellow fruit with red streaks.,,,,,,
421,Holland,https://njaes.rutgers.edu/tomato-varieties/variety.php?Holland,,Specialty,Open Pollinated,Mid,Normal,Indeterminate,5 ft.,8 oz.,Round,Red,Red,,,USA,"From Boleslaw Wilczek of Edison, N.J. who saved the seed from a Holland hot house tomato and adapted for outside use.",,,,
422,Homestead,https://njaes.rutgers.edu/tomato-varieties/variety.php?Homestead,,Heirloom,Open Pollinated,Late,Narrow,Semi-Determinate,4 ft.,8 oz.,Round,Red,Red,,,USA,Developed in 1950's for Florida growers.,,,,
423,Homesweet,https://njaes.rutgers.edu/tomato-varieties/variety.php?Homesweet,,Garden,Hybrid,Early,Narrow,Determinate,,6 oz.,Flattened Globe,Red,Red,Sweet,Very sweet flavor?,,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2, Alternaria Stem Canker",
424,Honey Bunch,https://njaes.rutgers.edu/tomato-varieties/variety.php?Honey+Bunch,,,,Early,Narrow,Indeterminate,5 ft.,0.25 oz.,Cherry,Red,Red,,Tastes like fruit was dipped in honey?,,,,Commercial,,
425,Honey Bunch Yellow,https://njaes.rutgers.edu/tomato-varieties/variety.php?Honey+Bunch+Yellow,,,Hybrid,Early,,Indeterminate,7 ft.,1 oz.,Grape,Yellow,Yellow,,,,,,,,
426,Honey Delight,https://njaes.rutgers.edu/tomato-varieties/variety.php?Honey+Delight,,Garden,Hybrid,Late,Normal,Indeterminate,6 ft.,4 oz.,Round,Yellow,Yellow,,,,,,,,
427,Honey Drop,https://njaes.rutgers.edu/tomato-varieties/variety.php?Honey+Drop,,Garden,Open Pollinated,Mid,Normal,Indeterminate,6 ft.,2 oz.,Cherry,Yellow,Yellow,,"Sweet and fruity, resistant to cracking",USA,,,,,
428,Honey Hybrid,https://njaes.rutgers.edu/tomato-varieties/variety.php?Honey+Hybrid,,,Hybrid,Mid,Narrow,Indeterminate,5 ft.,8 oz.,Round,Deep Pink,,Sweet,"Sweet, rich flavor?",,,,,,
429,Honeybee (1),https://njaes.rutgers.edu/tomato-varieties/variety.php?Honeybee+(1),,Garden,Hybrid,Mid,Normal,Semi-Determinate,6 ft.,1 oz.,Cherry,Golden,Golden,Sweet,,,,,,,
430,Honeycomb,https://njaes.rutgers.edu/tomato-varieties/variety.php?Honeycomb,,Garden,Hybrid,Mid,Normal,Indeterminate,6 ft.,0.5 oz.,Cherry,Orange,Orange,,Long clusters of fruit said to have a taste of honey.,,,,,,
431,Hugh's,https://njaes.rutgers.edu/tomato-varieties/variety.php?Hugh's,,Heirloom,Open Pollinated,Late,Narrow,Indeterminate,7 ft.,16 oz.,Beefsteak,Bi-color,Bi-color,,,,,,,,
432,Huichol,https://njaes.rutgers.edu/tomato-varieties/variety.php?Huichol,,Commercial,Hybrid,Mid,Normal,Determinate,3 ft.,6 oz.,Long Blocky,Red,Red,,,,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Tobbacco Mosaic Virus",
433,Hungarian Heart,https://njaes.rutgers.edu/tomato-varieties/variety.php?Hungarian+Heart,,,Open Pollinated,Late,Normal,Indeterminate,7 ft.,16 oz.,Oxheart,Pink,Pink,Tomato Flavor,Originated from Budapest Hungary.,,,,,,
434,Husky Gold,https://njaes.rutgers.edu/tomato-varieties/variety.php?Husky+Gold,,Garden,Hybrid,Early,Narrow,Indeterminate Short Nodes,4 ft.,6 oz.,Round,Golden,Golden,,1993 All-American Selection.  Very compact plants.,USA,,Fresh,Commercial,,
435,Husky Pink,https://njaes.rutgers.edu/tomato-varieties/variety.php?Husky+Pink,,Specialty,Hybrid,Mid,Normal,Indeterminate Short Nodes,3 ft.,8 oz.,Round,Pink,Pink,,,,,,,,
436,Hybrid 46,https://njaes.rutgers.edu/tomato-varieties/variety.php?Hybrid+46,,Commercial,Hybrid,Mid,Normal,Determinate,4 ft.,6 oz.,Plum,Red,Red,,"Good for paste, sauce. VFFT.",,,,,,
437,Hybrid Beef 9904,https://njaes.rutgers.edu/tomato-varieties/variety.php?Hybrid+Beef+9904,,Specialty,Hybrid,Mid,Normal,Determinate,4 ft.,9 oz.,Flattened Globe,Red,Red,,Semi-seedless.,,,,,,
438,Hy-Brix,https://njaes.rutgers.edu/tomato-varieties/variety.php?Hy-Brix,,,Hybrid,Early,Narrow,Semi-Determinate,4 ft.,1/4 to 1/2 oz.,Grape,Red,Red,,,,,,,,
439,Igleheart Yellow Cherry,https://njaes.rutgers.edu/tomato-varieties/variety.php?Igleheart+Yellow+Cherry,,,Open Pollinated,Late,,Indeterminate,7 ft.,1 oz.,Cherry,Yellow,Yellow,,,,The parents of James Igleheart of Indiana received the seeds of this tomato variety from their Italian gardener.,,,,
440,Ildi,https://njaes.rutgers.edu/tomato-varieties/variety.php?Ildi,,Specialty,Open Pollinated,Early,Normal,Indeterminate,7 ft.,0.5 oz.,Grape,Yellow,Yellow,,Interesting clusters of flowers.,,,,,,
441,Illini Star,https://njaes.rutgers.edu/tomato-varieties/variety.php?Illini+Star,,,Open Pollinated,Mid,,Determinate,4 ft.,6 oz.,Flattened Globe,Red,Red,,Compact plant.,,Developed by Merlyn & Mary Ann Neidens.,,,,
442,Illinois Beauty,https://njaes.rutgers.edu/tomato-varieties/variety.php?Illinois+Beauty,,Heirloom,Open Pollinated,Mid,Normal,Indeterminate,5 ft.,6 oz.,Round,Red,Red,,,USA,,,,,
443,Indian Stripe,https://njaes.rutgers.edu/tomato-varieties/variety.php?Indian+Stripe,,Heirloom,Open Pollinated,Late,,Indeterminate,5 ft.,9 oz.,Round,Bi-color,Bi-color,,,,Found in an Arkansas garden.,,,,
444,Indigo Cream Berries,https://njaes.rutgers.edu/tomato-varieties/variety.php?Indigo+Cream+Berries,,,Open Pollinated,Late,,Indeterminate,6 ft.,1 oz.,Cherry,White,White,,Purple shoulders.,,,,,,
445,Indigo Gold Berries,https://njaes.rutgers.edu/tomato-varieties/variety.php?Indigo+Gold+Berries,,,Open Pollinated,Mid,,Indeterminate,7 ft.,0.5 oz.,Cherry,Bi-color,Bi-color,,Gold fruit with purple top.,,,,,,
446,Indigo Kumquat,https://njaes.rutgers.edu/tomato-varieties/variety.php?Indigo+Kumquat,,Specialty,Hybrid,Mid,Normal,Indeterminate,7 ft.,1 oz.,Grape,Orange,Orange,,,,,,,,
447,Indigo Rose,https://njaes.rutgers.edu/tomato-varieties/variety.php?Indigo+Rose,,Specialty,Open Pollinated,Late,Normal,Indeterminate,5 ft.,1 oz.,Round,Black,Red,,High in anthocyanins.,USA,Bred at Oregon State University.,,,,
448,Indigo Ruby,https://njaes.rutgers.edu/tomato-varieties/variety.php?Indigo+Ruby,,,Hybrid,Late,,Determinate,4 ft.,1 oz.,Grape,Bi-color,Bi-color,,Plum shape red fruit with violet blue tops.,,,,,,
449,Invincible,https://njaes.rutgers.edu/tomato-varieties/variety.php?Invincible,,Garden,Hybrid,Mid,Normal,Determinate,4 ft.,4 oz.,Round,Red,Red,,"Heat, rain and late blight tolerant",,,,,,
450,Iron Lady,https://njaes.rutgers.edu/tomato-varieties/variety.php?Iron+Lady,,Commercial,Hybrid,Mid,Normal,Determinate,3 ft.,6 oz.,Round,Red,Red,,Bred for late blight and early blight resistance.,USA,From a collaboration between Cornell University and North Carolina State U.,,,,
451,Isis Candy,https://njaes.rutgers.edu/tomato-varieties/variety.php?Isis+Candy,,Heirloom,Open Pollinated,Mid,Normal,Indeterminate,8 ft.,1.5 oz.,Cherry,Bi-color,Bi-color,,Very sweet flavor.,,,Fresh,"Seed Exchange, Commercial",,
452,Italian Giant Beefsteak,https://njaes.rutgers.edu/tomato-varieties/variety.php?Italian+Giant+Beefsteak,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,6 ft.,16 oz.,Beefsteak,Red,Red,,Originated from Italy over 80 years ago.,Italy,,,,,
453,Italian Goliath,https://njaes.rutgers.edu/tomato-varieties/variety.php?Italian+Goliath,,Garden,Hybrid,Mid,Normal,Indeterminate,6 ft.,8 oz.,Flattened Globe,Red,Red,Tomato Flavor,Also called 'Boy-Oh-Boy'.,,,,,,
454,Italian Heirloom,https://njaes.rutgers.edu/tomato-varieties/variety.php?Italian+Heirloom,,Heirloom,Open Pollinated,Mid,Normal,Indeterminate,7 ft.,14 oz.,Beefsteak,Red,Red,,,,,,,,
455,Italian Ice,https://njaes.rutgers.edu/tomato-varieties/variety.php?Italian+Ice,,Garden,Hybrid,Mid,Normal,Indeterminate,8 ft.,0.8 oz.,Cherry,White,White,,,,,,,,
456,Ivory Pear,https://njaes.rutgers.edu/tomato-varieties/variety.php?Ivory+Pear,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,8 ft.,1 oz.,Small Pear,White,White,,,,,,,,
457,Janet's Jewel,https://njaes.rutgers.edu/tomato-varieties/variety.php?Janet's+Jewel,,,Open Pollinated,Late,,Indeterminate,5 ft.,16 oz.,Beefsteak,Bi-color,Bi-color,,Orange fruit with green stripes. Potato Leaf.,,,,,,
458,Japanese Trifele Black,https://njaes.rutgers.edu/tomato-varieties/variety.php?Japanese+Trifele+Black,,Heirloom,Open Pollinated,Late,Potato,Indeterminate,5 ft.,8 oz.,Pear,Black,Black,,,,,,Commercial,,
459,Jasper,https://njaes.rutgers.edu/tomato-varieties/variety.php?Jasper,,Specialty,Hybrid,Mid,Normal,Indeterminate,8 ft.,0.25 oz.,Cherry,Red,Red,,Late blight resistant; All American Selection winner.,,,,,,
460,Jaune Flamme,https://njaes.rutgers.edu/tomato-varieties/variety.php?Jaune+Flamme,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,5 ft.,3 oz.,Round,Orange,Orange,Fruity,Fruity floral flavor.,France,,Fresh,"Seed Exchange, Commercial",,
461,Jazzy,https://njaes.rutgers.edu/tomato-varieties/variety.php?Jazzy,,,Hybrid,Early,Narrow,Indeterminate,6 ft.,3/4 oz.,Cherry,Red,Red,,,,,,,,
462,Jelly Bean Red,https://njaes.rutgers.edu/tomato-varieties/variety.php?Jelly+Bean+Red,,Garden,Hybrid,Early,Normal,Indeterminate,7 ft.,0.5 oz.,Currant,Red,Red,,Clusters of fruit with thin skin. VFF.,,,,,,
463,Jersey Boy,https://njaes.rutgers.edu/tomato-varieties/variety.php?Jersey+Boy,,,Hybrid,Mid,,Indeterminate,4 ft.,10 oz.,Flattened Globe,Red,Red,,Cross between Brandywine and Rutgers tomato.,,,,,,
464,Jersey Devil,https://njaes.rutgers.edu/tomato-varieties/variety.php?Jersey+Devil,,Heirloom,Open Pollinated,Late,Narrow,Indeterminate,6 ft.,6 oz.,Long Pointed,Red,Red,,Very meaty few seeds?  Look like frying peppers.  Sweet?,,,"Fresh, Paste",Commercial,,
465,Jet Star,https://njaes.rutgers.edu/tomato-varieties/variety.php?Jet+Star,,Garden,Hybrid,Mid,Normal,Indeterminate,4 ft.,10 oz.,Flattened Globe,Red,Red,,Low in acid?  Has been popular for years with gardeners.,,,Fresh,Commercial,"Verticillium Wilt, Fusarium Wilt Race 1",
466,Jetsonic,https://njaes.rutgers.edu/tomato-varieties/variety.php?Jetsonic,,Garden,Hybrid,Early,Narrow,Indeterminate,5 ft.,7 oz.,Round,Red,Red,,Green shoulders.,,,,,,
467,Joker,https://njaes.rutgers.edu/tomato-varieties/variety.php?Joker,,Specialty,Hybrid,Early,Normal,Determinate,4 ft.,10 oz.,Flattened Globe,Red,Red,,Extended shelf life. VFFT.,France,,,,,
468,Jolly (2),https://njaes.rutgers.edu/tomato-varieties/variety.php?Jolly+(2),,Garden,Hybrid,Mid,Normal,Indeterminate,7 ft.,1.5 oz.,Grape,Pink,Pink,,Distinctive tip at blossom end. 2001 AAS Winner.,,,,,,
469,Jolly Elf,https://njaes.rutgers.edu/tomato-varieties/variety.php?Jolly+Elf,,Commercial,Hybrid,Early,Normal,Determinate,4 ft.,0.5 oz.,Grape,Red,Red,,Grape tomatoes on a compact plant.,,,Fresh,Commercial,"Verticillium Wilt, Fusarium Wilt Race 1",
470,Jolly Girl,https://njaes.rutgers.edu/tomato-varieties/variety.php?Jolly+Girl,,,Hybrid,Early,,Determinate,4 ft.,1 oz.,Grape,Red,Red,,Compact plants.,,,,,,
471,Jubilee,https://njaes.rutgers.edu/tomato-varieties/variety.php?Jubilee,,Specialty,Open Pollinated,Late,Normal,Indeterminate,6 ft.,10 oz.,Round,Yellow,Orange,,Has green shoulders.,,,,,,
472,Jujube Cherry,https://njaes.rutgers.edu/tomato-varieties/variety.php?Jujube+Cherry,,Heirloom,Open Pollinated,Mid,Normal,Indeterminate,7 ft.,2 oz.,Grape,Red,Red,,Fruits in long clusters.,,,,,,
473,Juliet,https://njaes.rutgers.edu/tomato-varieties/variety.php?Juliet,,Garden,Hybrid,Early,Narrow,Indeterminate,7 ft.,1 oz.,Grape,Red,Red,,1999 All-American Selection.  Balanced tomato flavor.,,,,,,
474,Jung's Wayahead (1),https://njaes.rutgers.edu/tomato-varieties/variety.php?Jung's+Wayahead+(1),,,Open Pollinated,Early,,Determinate,4 ft.,8 oz.,Round,Red,Red,,,,,,,,
475,Kalman's Hungarian Pink,https://njaes.rutgers.edu/tomato-varieties/variety.php?Kalman's+Hungarian+Pink,,Heirloom,Open Pollinated,Late,Narrow,Indeterminate,,,Long Blocky,Pink,Pink,,Rich sweet flavor?  Meaty flesh.,,"A family heirloom of Kalman Lajvort of Edison, NJ originally frorm Europe.","Fresh, Paste","Seed Exchange, Commercial",,
476,Kanner Hoell,https://njaes.rutgers.edu/tomato-varieties/variety.php?Kanner+Hoell,,Heirloom,Open Pollinated,Mid,Normal,Indeterminate,6 ft.,16 oz.,Beefsteak,Red,Red,,,,,,,,
477,Katana,https://njaes.rutgers.edu/tomato-varieties/variety.php?Katana,,Specialty,Hybrid,Early,Normal,Semi-Determinate,5 ft.,10 oz.,Flattened Globe,Red,Red,,,,,,,,
478,KC 146,https://njaes.rutgers.edu/tomato-varieties/variety.php?KC+146,,Heirloom,Open Pollinated,Mid,Normal,Semi-Determinate,5 ft.,9 oz.,Round,Red,Red,Tomato Flavor,,USA,Developed by Campbell’s Soup Company as a processing tomato. Released in 1956 and used as a flavor standard.,,,,
479,Kellogg's Breakfast,https://njaes.rutgers.edu/tomato-varieties/variety.php?Kellogg's+Breakfast,,Heirloom,Open Pollinated,Mid,Normal,Indeterminate,7 ft.,14 oz.,Beefsteak,Orange,Orange,,Juicy and meaty?,USA,"From Darrell Kellog of Redford, Michigan.  From West Virginia?",Fresh,"Seed Exchange, Commercial",,
480,Kimberly,https://njaes.rutgers.edu/tomato-varieties/variety.php?Kimberly,,Garden,Open Pollinated,Very Early,Potato,Indeterminate,4 ft.,2 oz.,Round,Red,Red,,Sugar & acid balance? Compact.,,,,,,
481,Kobe Beefsteak,https://njaes.rutgers.edu/tomato-varieties/variety.php?Kobe+Beefsteak,,Specialty,Hybrid,Late,Normal,Indeterminate,5 ft.,10 oz.,Flattened Globe,Red,Red,,,,,,,,
482,Kolb,https://njaes.rutgers.edu/tomato-varieties/variety.php?Kolb,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,7 ft.,1 lb.,Beefsteak,Pink,Pink,,,,,,,,
483,Koralik,https://njaes.rutgers.edu/tomato-varieties/variety.php?Koralik,,Heirloom,Open Pollinated,Very Early,Normal,Determinate,4 ft.,0.25 oz.,Cherry,Red,Red,,,Russia,,,,,
484,La Roma III,https://njaes.rutgers.edu/tomato-varieties/variety.php?La+Roma+III,,Specialty,Hybrid,Late,Normal,Determinate,3 ft.,5 oz.,Long Blocky,Red,Red,,,,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2, Nematodes, Alternaria Stem Canker",
485,Lady Finger,https://njaes.rutgers.edu/tomato-varieties/variety.php?Lady+Finger,,Specialty,Hybrid,Late,Normal,Determinate,5 ft.,0.5 oz.,Small Pointed,Red,Red,,Said to have high sugar.,,,,,,
486,Ladybug,https://njaes.rutgers.edu/tomato-varieties/variety.php?Ladybug,,Garden,Hybrid,Early,Normal,Indeterminate,7 ft.,0.4 oz.,Cherry,Red,Red,,,,,,,,
487,Lake,https://njaes.rutgers.edu/tomato-varieties/variety.php?Lake,,Garden,Open Pollinated,Mid,Normal,Indeterminate,3 ft.,6 oz.,Flattened Globe,Red,Red,Tomato Flavor,,,,,,,
488,Large Barred Boar,https://njaes.rutgers.edu/tomato-varieties/variety.php?Large+Barred+Boar,,Garden,Open Pollinated,Mid,Normal,Semi-Determinate,4 ft.,10 oz.,Flattened Globe,Bi-color,Red,Tomato Flavor,Red with green stripes.,,,,,,
489,Legend,https://njaes.rutgers.edu/tomato-varieties/variety.php?Legend,,,Hybrid,Early,Narrow,Determinate,4 ft.,8 oz.,Round,Red,Red,,Disease resistant to late blight fungus.,,"Developed by Dr. Baggett, Oregon State U.",,,,
490,Lemon Boy,https://njaes.rutgers.edu/tomato-varieties/variety.php?Lemon+Boy,,Commercial,Hybrid,Late,Normal,Indeterminate,5 ft.,6-7 oz.,Round,Yellow,Yellow,Mild,Mild Sweet yet tangy?  A very popular yellow variety.,,,Fresh,Commercial,"Verticillium Wilt, Fusarium Wilt Race 1, Nematodes",
491,Lemon Cherry,https://njaes.rutgers.edu/tomato-varieties/variety.php?Lemon+Cherry,,,Hybrid,Early,Narrow,Indeterminate,6 ft.,0.75 oz.,Cherry,Yellow,Yellow,,,,,,,,
492,Lemon Drop,https://njaes.rutgers.edu/tomato-varieties/variety.php?Lemon+Drop,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,8 ft.,0.5 oz.,Cherry,Yellow,Yellow,,"Fruit is 3/4"" long.",,,,,,
493,Lemon Tree,https://njaes.rutgers.edu/tomato-varieties/variety.php?Lemon+Tree,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,6 ft.,3 oz.,Long Pointed,Yellow,Yellow,,,,,,,,
494,Lime Green Salad,https://njaes.rutgers.edu/tomato-varieties/variety.php?Lime+Green+Salad,,Garden,Open Pollinated,Early,Normal,Determinate,2 ft.,4 oz.,Round,Golden,Green,,Compact plants. Tangy flavor? Green fruit turn golden when ripe.,,,,,,
495,Limmony,https://njaes.rutgers.edu/tomato-varieties/variety.php?Limmony,,Heirloom,,Late,Narrow,Indeterminate,6 ft.,8-10 oz.,Beefsteak,Yellow,,,Acid flavor for a yellow?,Russia,,,,,
496,Lisa King,https://njaes.rutgers.edu/tomato-varieties/variety.php?Lisa+King,,,,Late,Narrow,Determinate,6 ft.,8-10 oz.,Beefsteak,Deep Pink,Deep Pink,Tomato Flavor,Old-fashioned tomato flavor?,,,,,,
497,Lizziebelle,https://njaes.rutgers.edu/tomato-varieties/variety.php?Lizziebelle,,Garden,Hybrid,Mid,Normal,Indeterminate,6 ft.,0.85 oz.,Plum,Orange,Orange,,Baby plum,,,,,,
498,Lollipop,https://njaes.rutgers.edu/tomato-varieties/variety.php?Lollipop,,Heirloom,Open Pollinated,Mid,Narrow,Indeterminate,6 ft.,0.5 oz.,Cherry,Yellow,Yellow,,,,,,Seed Exchange,,
499,Longkeeper,https://njaes.rutgers.edu/tomato-varieties/variety.php?Longkeeper,,Garden,Open Pollinated,Mid,Normal,Indeterminate,4 ft.,6 oz.,Round,Orange,Pink,,Fruits become ripe 1-3 months after harvesting.,,,,,,
500,Lost Marbles,https://njaes.rutgers.edu/tomato-varieties/variety.php?Lost+Marbles,,Garden,Hybrid,Mid,Normal,Indeterminate,6 ft.,0.5 oz.,Cherry,Pink,Pink,,"Result of various crosses between several wild species, making it particularly resistant to diseases.",USA,,,,,
501,Lovertino,https://njaes.rutgers.edu/tomato-varieties/variety.php?Lovertino,,Garden,Hybrid,Mid,Normal,Indeterminate,7 ft.,1 oz.,Cherry,Red,Red,,"Strawberry shape, grows in long trusses, sweet flavor, TMV",,,,,,
502,Lucky Cross,https://njaes.rutgers.edu/tomato-varieties/variety.php?Lucky+Cross,,,Hybrid,Late,Potato,Indeterminate,7 ft.,10 oz.,Beefsteak,Bi-color,Golden,,,,,,,,
503,Lucky Tiger,https://njaes.rutgers.edu/tomato-varieties/variety.php?Lucky+Tiger,,Specialty,Hybrid,Mid,Normal,Indeterminate,8 ft.,1 oz.,Grape,Bi-color,Red,,Red fruit with green stripes.,,,,,,
504,Lunch Box,https://njaes.rutgers.edu/tomato-varieties/variety.php?Lunch+Box,,Specialty,Hybrid,Mid,Normal,Determinate,3 ft.,3 oz.,Plum,Red,,,"Very compact, egg size.",,,,,,
505,Lyn's Mahogany Garnet,https://njaes.rutgers.edu/tomato-varieties/variety.php?Lyn's+Mahogany+Garnet,,Specialty,Open Pollinated,Mid,Narrow,Determinate,5 ft.,8 oz.,Flattened Globe,Bi-color,Bi-color,,"A new cross between Black Russian and Green Zebra, tart yet sweet taste? and a tender thin skin.",,,,,,
506,Madame Marmande,https://njaes.rutgers.edu/tomato-varieties/variety.php?Madame+Marmande,,,Hybrid,Mid,,Indeterminate,5 ft.,10 oz.,Beefsteak,Red,Red,,Popular variety in France.,,,,,,
507,Maglia Rosa,https://njaes.rutgers.edu/tomato-varieties/variety.php?Maglia+Rosa,,Specialty,Hybrid,Mid,Narrow,Indeterminate,4 ft.,1 oz.,Grape,Bi-color,Bi-color,,Pink fruit with yellow stripes.,,,,,,
508,Magnum,https://njaes.rutgers.edu/tomato-varieties/variety.php?Magnum,,,Open Pollinated,Late,,Indeterminate,6 ft.,16 oz.,Beefsteak,Red,Red,,,,,,,,
509,Maiden's Gold,https://njaes.rutgers.edu/tomato-varieties/variety.php?Maiden's+Gold,,Garden,Open Pollinated,Early,Normal,Indeterminate,5 ft.,9 oz.,Round,Orange,Orange,,"Juicy, sweet and fruity",USA,,,,,
510,Malakhitovaya Shkatulka (1),https://njaes.rutgers.edu/tomato-varieties/variety.php?Malakhitovaya+Shkatulka+(1),,Heirloom,Open Pollinated,Mid,Normal,Indeterminate,7 ft.,10 oz.,Flattened Globe,Green,Green,,,Russia,,,,,
511,Malinowski,https://njaes.rutgers.edu/tomato-varieties/variety.php?Malinowski,,Heirloom,Open Pollinated,Mid,Narrow,Indeterminate,6 ft.,8 oz.,Flattened Globe,Red,Red,,,,,,Seed Exchange,,
512,Mama Leone,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mama+Leone,,,Open Pollinated,Late,Narrow,Indeterminate,6 ft.,6 oz.,Plum,Red,Red,,"Meaty fruit, few seeds.",Italy,,,,,
513,Mamie Brown's Pink,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mamie+Brown's+Pink,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,5 ft.,16 oz.,Beefsteak,Pink,Pink,,,,,,,,
514,Mandarin Cross,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mandarin+Cross,,Garden,Open Pollinated,Mid,Normal,Indeterminate,5 ft.,10 oz.,Globe,Orange,Yellow,,"Firm flesh, sweet and low acid",Japan,,,,,
515,Manitoba,https://njaes.rutgers.edu/tomato-varieties/variety.php?Manitoba,,Heirloom,Open Pollinated,Early,Normal,Determinate,2 ft.,6 oz.,Flattened Globe,Red,Red,,,,,,,,
516,Manyel,https://njaes.rutgers.edu/tomato-varieties/variety.php?Manyel,,Specialty,Hybrid,Late,Normal,Indeterminate,6 ft.,10 oz.,Round,Yellow,Yellow,,Form in clusters of 3 to 5 fruits.,,,,,,
517,Margherita,https://njaes.rutgers.edu/tomato-varieties/variety.php?Margherita,,Garden,Hybrid,Mid,Normal,Determinate,3 ft.,3 oz.,Plum,Red,Red,,,,,,,,
518,Marglobe Improved,https://njaes.rutgers.edu/tomato-varieties/variety.php?Marglobe+Improved,,,Open Pollinated,Mid,,Determinate,4 ft.,8 oz.,Round,Red,Red,,,,,,,,
519,Margo,https://njaes.rutgers.edu/tomato-varieties/variety.php?Margo,,Garden,Hybrid,Early,Narrow,Determinate,3 ft.,6 oz.,Flattened Globe,Red,Red,,"Compact plant, green shoulders.",,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2",
520,Mariana,https://njaes.rutgers.edu/tomato-varieties/variety.php?Mariana,,Commercial,Hybrid,Mid,Normal,Determinate,3 ft.,5 oz.,Plum,Red,Red,,A large Roma type.,,,Fresh,Commercial,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2, Nematodes",
