,Unnamed: 0,name,link,comments,Tomato Type,Breed,Season,Leaf Type,Plant Type,Plant Height,Fruit Size,Fruit Shape,Skin Color,Flesh Color,Taste,Comments,Origin,History,Usage,Availability,Disease Resistance,Flaws,Plant Height Unit,Fruit Size Unit
788,788,Sean's Yellow,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sean's+Yellow,,Specialty,Hybrid,Early,Normal,Indeterminate,3,6,Round,Yellow,Yellow,,A cross between Budai Torpe and Cherokee Green.,,,,,,,ft.,oz.
789,789,Seattle's Best of All,https://njaes.rutgers.edu/tomato-varieties/variety.php?Seattle's+Best+of+All,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,6,5,Round,Red,Red,,,,,,,,,ft.,oz.
790,790,Seminis 0172-1432,https://njaes.rutgers.edu/tomato-varieties/variety.php?Seminis+0172-1432,,,,,Narrow,,,,Flattened Globe,,Red,,,,,,,,,,
791,791,Seminis 1236,https://njaes.rutgers.edu/tomato-varieties/variety.php?Seminis+1236,,,,Mid,Narrow,,,,Flattened Globe,Red,Red,,,,,,,,,,
792,792,Seminis Grape 9137,https://njaes.rutgers.edu/tomato-varieties/variety.php?Seminis+Grape+9137,,Commercial,Hybrid,Mid,Normal,Indeterminate,8,0.6,Grape,Red,Red,,,USA,,,,,,ft.,oz.
793,793,Serrat,https://njaes.rutgers.edu/tomato-varieties/variety.php?Serrat,,Specialty,Hybrid,Early,Normal,Indeterminate,6,4,Plum,Red,Red,,,,,,,"Verticillium Wilt, Tobbacco Mosaic Virus",,ft.,oz.
794,794,Shady Lady,https://njaes.rutgers.edu/tomato-varieties/variety.php?Shady+Lady,,,Hybrid,Late,Narrow,Determinate,3,10,Round,Red,Red,,,,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Alternaria Stem Canker, Tobbacco Mosaic Virus",,ft.,oz.
795,795,Shasta,https://njaes.rutgers.edu/tomato-varieties/variety.php?Shasta,,Heirloom,Open Pollinated,Late,Normal,Determinate,3,4,Round,Red,Red,,Shasta is a high solids processing tomato. The fruits have a green shoulder and jointed pedicle.,,,,,Verticillium Wilt,,ft.,oz.
796,796,Sheboygan,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sheboygan,,,Open Pollinated,Late,Narrow,Indeterminate,6,4-6,Plum,Pink,,,,,Grown by Lithiuanian immigrants in Sheboygan WI.,Paste,,,,ft.,oz.
797,797,Shelby,https://njaes.rutgers.edu/tomato-varieties/variety.php?Shelby,,Commercial,Hybrid,Mid,Normal,Determinate,4,5,Plum,Red,Red,,"Classic plum shape, high yield and firm",,,,,,,ft.,oz.
798,798,Shilling Giant (1),https://njaes.rutgers.edu/tomato-varieties/variety.php?Shilling+Giant+(1),,,Open Pollinated,Late,,Indeterminate,5,12,Oxheart,Red,Red,,,,,,,,,ft.,oz.
799,799,Sicilian Saucer,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sicilian+Saucer,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,,,Beefsteak,Red,Red,,,Italy,,,,,,,
800,800,Siletz,https://njaes.rutgers.edu/tomato-varieties/variety.php?Siletz,,Garden,Open Pollinated,Mid,Normal,Determinate,4,10,Round,Red,Red,Tomato Flavor,Nearly seedless. Bred by Dr. Jim Baggett of Oregon State U.,USA,,,,,,ft.,oz.
801,801,Silvery Fir Tree,https://njaes.rutgers.edu/tomato-varieties/variety.php?Silvery+Fir+Tree,,Heirloom,Open Pollinated,Early,Narrow,Determinate,3,5,Flattened Globe,Red,Red,Mild,"Interesting dissected ""carrot like"" foliage on compact plants.",Russia,,Fresh,Seed Exchange,,,ft.,oz.
802,802,Sioux,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sioux,,Heirloom,Open Pollinated,Mid,Narrow,Indeterminate,4,8,Round,Red,,,,,Released by U. of Nebraska in 1944.,,,,,ft.,oz.
803,803,Skorospelka,https://njaes.rutgers.edu/tomato-varieties/variety.php?Skorospelka,,Heirloom,Open Pollinated,Mid,Narrow,Determinate,2,3,Round,Red,Red,,,,,,,,,ft.,oz.
804,804,Skyreacher,https://njaes.rutgers.edu/tomato-varieties/variety.php?Skyreacher,,,Open Pollinated,Mid,,Indeterminate,7,6,Round,Bi-color,Bi-color,,Red with organge streaks.,,Bred by Tom Wagner.,,,,,ft.,oz.
805,805,Skyway,https://njaes.rutgers.edu/tomato-varieties/variety.php?Skyway,,,Hybrid,Mid,,Determinate,4,10,Round,Red,Red,,,,,,,,,ft.,oz.
806,806,Slava,https://njaes.rutgers.edu/tomato-varieties/variety.php?Slava,,Heirloom,Open Pollinated,Mid,,Indeterminate,5,2,Round,Red,Red,,,,,,,,,ft.,oz.
807,807,Sleeping Lady,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sleeping+Lady,,Specialty,Open Pollinated,Mid,Normal,Indeterminate Short Nodes,3,5,Flattened Globe,Black,Black,,,,A cross between 'Budai Torpe & 'Black from Tula'.,,,,,ft.,oz.
808,808,Small Fry,https://njaes.rutgers.edu/tomato-varieties/variety.php?Small+Fry,,Garden,Hybrid,Mid,Narrow,Determinate,4,0.75,Cherry,Red,Red,,All-American Selection.  Compact plants.,,,,Commercial,"Verticillium Wilt, Fusarium Wilt Race 1, Nematodes",,ft.,oz.
809,809,Smarty,https://njaes.rutgers.edu/tomato-varieties/variety.php?Smarty,,Commercial,Hybrid,Early,Narrow,Determinate,5,0.5,Grape,Red,Red,,Sweet fruity flavor.,USA,,Fresh,Commercial,,,ft.,oz.
810,810,Snacker's Delight,https://njaes.rutgers.edu/tomato-varieties/variety.php?Snacker's+Delight,,,Hybrid,Early,Narrow,Indeterminate,7,1,Grape,Red,,,,,,,,,,ft.,inch
811,811,Snow White,https://njaes.rutgers.edu/tomato-varieties/variety.php?Snow+White,,Heirloom,Open Pollinated,Late,Narrow,Indeterminate,7,0.5,Cherry,Yellow,White,,Popular with children.,,,Fresh,"Seed Exchange, Commercial",,,ft.,oz.
812,812,Snowberry,https://njaes.rutgers.edu/tomato-varieties/variety.php?Snowberry,,Heirloom,Open Pollinated,Mid,Narrow,Indeterminate,6,1-1/2,Cherry,Yellow,White,,Sweet/fruity flavor.,,,,,,,ft.,to 2 oz.
813,813,Solar Fire,https://njaes.rutgers.edu/tomato-varieties/variety.php?Solar+Fire,,Commercial,Hybrid,Early,Normal,Determinate,3,9-10,Flattened Globe,Red,Red,,Heat tolerant.,USA,,Fresh,Commercial,"Verticillium Wilt, Fusarium Wilt Race 1",,ft.,oz.
814,814,Solar Flare,https://njaes.rutgers.edu/tomato-varieties/variety.php?Solar+Flare,,,Open Pollinated,Mid,,Indeterminate,6,8,Flattened Globe,Bi-color,Bi-color,,Red fruit with gold stripes.,,,,,,,ft.,oz.
815,815,Solar Power,https://njaes.rutgers.edu/tomato-varieties/variety.php?Solar+Power,,Specialty,Hybrid,Mid,Normal,Indeterminate,4,3,Round,Yellow,Yellow,,Contains high amounts of beta carotene.,,,,,,,ft.,oz.
816,816,Solid Gold,https://njaes.rutgers.edu/tomato-varieties/variety.php?Solid+Gold,,,Hybrid,Mid,Narrow,Indeterminate,6,1/2,Grape,Yellow,Yellow,,,,,,,,,ft.,oz.
817,817,Sophie's Choice ,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sophie's+Choice+,,,Open Pollinated,Early,,Determinate,2,8,Globe,Red,Red,,,,,,,,,ft.,oz.
818,818,Sophya,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sophya,,Specialty,Hybrid,Mid,Narrow,Indeterminate,5,10,Pear,Red,Red,,Firm flesh.,Italy,,,Commercial,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2",,ft.,oz.
819,819,Southern Night,https://njaes.rutgers.edu/tomato-varieties/variety.php?Southern+Night,,Heirloom,Open Pollinated,Late,Potato,Indeterminate,4,10,Beefsteak,Black,Red,,Rich complex flavor?,Russia,,Fresh,Commercial,,,ft.,oz.
820,820,Sparky XSL,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sparky+XSL,,Garden,Hybrid,Early,Normal,Indeterminate,6,1,Cherry,Red,Red,,"XSL stands for Extended Shelf Life which will keep for up to 3 weeks, sweet flavor, huge yields?",,,,,,,ft.,oz.
821,821,Spear's Tennesse Green,https://njaes.rutgers.edu/tomato-varieties/variety.php?Spear's+Tennesse+Green,,Heirloom,Open Pollinated,Mid,Normal,Indeterminate,6,10,Flattened Globe,Green,Green,Tomato Flavor,From the Spear family of Tennessee.,USA,,,,,,ft.,oz.
822,822,Speckled Roman,https://njaes.rutgers.edu/tomato-varieties/variety.php?Speckled+Roman,,Specialty,Open Pollinated,Late,Narrow,Indeterminate,7,7,Long Pointed,Bi-color,Red,,"Thick skinned with meaty flesh.  Fruits are 5"" long.  Orange red color with yellow stripes.",,Developed by John Swenson as a result of a cross between 'Antique Roman' and 'Banana Legs'.,,,,,ft.,oz.
823,823,Spike,https://njaes.rutgers.edu/tomato-varieties/variety.php?Spike,,,Open Pollinated,Mid,,Semi-Determinate,5,2,Round,Bi-color,Bi-color,,Orange with green to gold stripes.,,,,,,,ft.,oz.
824,824,Spitfire,https://njaes.rutgers.edu/tomato-varieties/variety.php?Spitfire,,Commercial,Hybrid,Mid,Normal,Determinate,4,10,Flattened Globe,Red,Red,,,,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2, Alternaria Stem Canker",,ft.,oz.
825,825,Sprite,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sprite,,,,Very Early,Narrow,Determinate,4,0.3,Grape,Red,Red,Sweet,"Thin skinned, compact plant.",,,,,,,ft.,oz.
826,826,St. Nick,https://njaes.rutgers.edu/tomato-varieties/variety.php?St.+Nick,,Commercial,Hybrid,Mid,Narrow,Indeterminate,4,0.4,Grape,Red,Red,,,,,,,,,ft.,oz.
827,827,St. Pierre,https://njaes.rutgers.edu/tomato-varieties/variety.php?St.+Pierre,,Heirloom,Open Pollinated,Mid,Narrow,Indeterminate,3,8,Round,Red,Red,,Deep red.,Italy,,,,,,ft.,oz.
828,828,Steak House,https://njaes.rutgers.edu/tomato-varieties/variety.php?Steak+House,,,Hybrid,Late,,Indeterminate,6,16,Beefsteak,Red,Red,,,,,,,,,ft.,oz.
829,829,Steak Sandwich,https://njaes.rutgers.edu/tomato-varieties/variety.php?Steak+Sandwich,,Garden,Hybrid,Mid,Narrow,Indeterminate,5,10,Flattened Globe,Red,Red,,"Firm, old fashioned tomato taste?",,,,,,,ft.,oz.
830,830,Stellar,https://njaes.rutgers.edu/tomato-varieties/variety.php?Stellar,,Garden,Hybrid,Mid,Normal,Determinate,4,6,Round,Red,Red,Tomato Flavor,Resistant to late blight tolerant to early blight.,,,,,,,ft.,oz.
831,831,Stone,https://njaes.rutgers.edu/tomato-varieties/variety.php?Stone,,Heirloom,Open Pollinated,Mid,Normal,Indeterminate,6,6,Flattened Globe,Red,Red,,,USA,"Introduced in 1889. The original specimen was obtained from a market grower near Columbus, Ohio in about 1885.",,,,,ft.,oz.
832,832,Striped Cavern,https://njaes.rutgers.edu/tomato-varieties/variety.php?Striped+Cavern,,Heirloom,Open Pollinated,Late,Narrow,Indeterminate,7,8,Stuffer,Bi-color,Bi-color,,,,,Fresh,Commercial,,,ft.,oz.
833,833,Striped German,https://njaes.rutgers.edu/tomato-varieties/variety.php?Striped+German,,Heirloom,Open Pollinated,Mid,Normal,Indeterminate,7,2,Beefsteak,Bi-color,Bi-color,,Fruity flavor?,USA,"From Hampshire County, WV.",Fresh,,,,ft.,lbs.
834,834,Striped Roman,https://njaes.rutgers.edu/tomato-varieties/variety.php?Striped+Roman,,Specialty,Open Pollinated,Mid,Normal,Indeterminate,6,4,Plum,Bi-color,Orange,,,,,,,,,ft.,oz.
835,835,Striped Stuffer,https://njaes.rutgers.edu/tomato-varieties/variety.php?Striped+Stuffer,,Specialty,Open Pollinated,Late,Normal,Indeterminate,7,5,Bell,Orange,Orange,,Unique hollow fruit.,,,,,,,ft.,oz.
836,836,Subarctic,https://njaes.rutgers.edu/tomato-varieties/variety.php?Subarctic,,,Hybrid,Early,,Determinate,3,3,Round,Red,Red,,Early fruit on compact plants.,,,,,,,ft.,oz.
837,837,Sugar Lump,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sugar+Lump,,Heirloom,Open Pollinated,Late,Normal,Indeterminate,6,1,Cherry,Red,Red,,German heirloom.,Germany,,,,,,ft.,oz.
838,838,Sugar Plum,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sugar+Plum,,Garden,Hybrid,Early,Narrow,Indeterminate,7,0.5,Grape,Red,,Sweet,"Fruit held in long clusters, very sweet?",,,,,,,ft.,oz.
839,839,Sugar Rush,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sugar+Rush,,,Hybrid,Early,,Indeterminate,5,1,Grape,Red,Red,,Fruit grows on long clusters.,,,,,,,ft.,oz.
840,840,Sugar Snack,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sugar+Snack,,,Hybrid,Early,Narrow,Indeterminate,7,1,Cherry,Red,,,,,,,,"Nematodes, Tobbacco Mosaic Virus",,ft.,oz.
841,841,Sugary,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sugary,,Garden,Hybrid,Early,Normal,Indeterminate,5,0.5,Grape,Deep Pink,Red,,2005 All-American Selection. Fruit has pointed tip and produced in clusters.,,,Fresh,Commercial,,,ft.,oz.
842,842,Summer Girl,https://njaes.rutgers.edu/tomato-varieties/variety.php?Summer+Girl,,Garden,Hybrid,Early,,Indeterminate,6,6,Round,Red,Red,,,,,,,,,ft.,oz.
843,843,Summer Pick,https://njaes.rutgers.edu/tomato-varieties/variety.php?Summer+Pick,,,Hybrid,Mid,,Determinate,4,10,Flattened Globe,Red,Red,,,,,,,,,ft.,oz.
844,844,Summer Pink,https://njaes.rutgers.edu/tomato-varieties/variety.php?Summer+Pink,,Garden,Hybrid,Early,Narrow,,,7,Round,Pink,Pink,,"A unique color for a hybrid developed for the Northeast, firm, good sugar acid balance?",USA,,,,"Verticillium Wilt, Fusarium Wilt Race 1",,,oz.
845,845,Summer Sunrise,https://njaes.rutgers.edu/tomato-varieties/variety.php?Summer+Sunrise,,Garden,Hybrid,Mid,Potato,Indeterminate,4,7,Round,Yellow,Yellow,,"Dwarf variety, good for container gardening, well balanced flavor",Australia/US,,,,,,ft.,oz.
846,846,Sun Cherry,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sun+Cherry,,Specialty,Hybrid,Mid,Normal,Indeterminate,6,0.5,Cherry,Red,Red,,,,,,,,,ft.,oz.
847,847,Sun Dried Cherry,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sun+Dried+Cherry,,Garden,Hybrid,Early,Normal,Indeterminate,5,1,Cherry,Red,Red,,"High yielding, large clusters can be dried in the sun",,,,,,,ft.,oz.
848,848,Sun Gold,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sun+Gold,,Specialty,Hybrid,Early,Narrow,Indeterminate,6,0.35,Cherry,Orange,Orange,Sweet,Sweet fruity flavor FT.,,,Fresh,Commercial,,,ft.,oz.
849,849,Sun King,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sun+King,,Garden,Hybrid,Mid,Narrow,Determinate,4,10,Flattened Globe,Red,Red,,,,,,,,,ft.,oz.
850,850,Sun Orange,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sun+Orange,,Garden,Hybrid,Early,Normal,Indeterminate,7,0.2,Cherry,Orange,Orange,,"Similar to Sun Gold but larger, improved crack resistance",,,,,,,ft.,oz.
851,851,Sunbrite,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sunbrite,,Commercial,Hybrid,Mid,Normal,Determinate,3,10,Flattened Globe,Red,Red,Tomato Flavor,Firm fruit. F1F2V.,,,,,,,ft.,oz.
852,852,Sunchocola,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sunchocola,,,Hybrid,Mid,,Indeterminate,7,1,Cherry,Black,Black,,Fruits form in clusters.,,,,,,,ft.,oz.
853,853,Sungold Select II,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sungold+Select+II,,Specialty,Open Pollinated,Mid,Normal,Indeterminate,6,0.5,Cherry,Orange,Orange,,An open pollinated selection of the hybrid.,,,,,,,ft.,oz.
854,854,Sungreen 4029,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sungreen+4029,,Commercial,Hybrid,Early,Normal,Indeterminate,6,0.5,Cherry,Green,Green,,"High resistance to T, absolutely delicious",,,,,,,ft.,oz.
855,855,Sungreen Garden,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sungreen+Garden,,,Hybrid,Late,Normal,Indeterminate,6,0.85,Grape,Green,Green,,Fruits ripe when soft to the touch.,,,,,,,ft.,oz.
856,856,Sunkist,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sunkist,,Specialty,Hybrid,Mid,Normal,Semi-Determinate,4,10,Flattened Globe,Golden,Golden,,,USA,,,,,,ft.,oz.
857,857,Sunleaper,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sunleaper,,Commercial,Hybrid,Mid,Normal,Determinate,3,9,Flattened Globe,Red,Red,,,USA,Developed by the North Carolina State University.,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2",,ft.,oz.
858,858,Sunlemon,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sunlemon,,,Hybrid,Mid,,Indeterminate,6,1,Cherry,Yellow,Yellow,,,,,,,,,ft.,oz.
859,859,Sunny Blue Ribbon,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sunny+Blue+Ribbon,,,Hybrid,Mid,,Determinate,6,8,Round,Yellow,Yellow,,,,,,,,,ft.,oz.
860,860,Sunny Boy,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sunny+Boy,,Garden,Hybrid,Mid,Normal,Indeterminate,6,16,Flattened Globe,Yellow,Yellow,,,,,,,,,ft.,oz.
861,861,Sunny Goliath,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sunny+Goliath,,Garden,Hybrid,Mid,Normal,Indeterminate,5,7-8,Flattened Globe,Golden,Golden,,Mild sweet flavor?,,,Fresh,Commercial,"Verticillium Wilt, Fusarium Wilt Race 1, Nematodes",,ft.,oz.
862,862,Sunpeach,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sunpeach,,,Hybrid,Mid,Normal,Indeterminate,7,0.7,Grape,Pink,Pink,,Crack resistant; form on long trusses.,,,,,,,ft.,oz.
863,863,Sunray,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sunray,,Heirloom,Open Pollinated,Late,Narrow,Indeterminate,6,7,Round,Golden,Golden,,,,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Fusarium Wilt Race 2",,ft.,oz.
864,864,Sunrise,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sunrise,,Commercial,Hybrid,Early,Normal,Determinate,3,7,Flattened Globe,Red,Red,,,USA,,,,"Verticillium Wilt, Fusarium Wilt Race 1",,ft.,oz.
865,865,Sunrise Bumble Bee,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sunrise+Bumble+Bee,,Specialty,Hybrid,Mid,Normal,Indeterminate,6,0.5,Grape,Bi-color,Yellow,,Yellow fruit with red stripes.,,,,,,,ft.,oz.
866,866,Sunrise Sauce,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sunrise+Sauce,,Garden,Hybrid,Early,Normal,Determinate,3,3,Plum,Orange,Orange,Tomato Flavor,Compact plants.,,,,,,,ft.,oz.
867,867,Sunset Falls,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sunset+Falls,,Specialty,Hybrid,Mid,Normal,Determinate,3,1.5,Round,Bi-color,Red,,Red fruit with yellow stripes.,,,,,,,ft.,oz.
868,868,Sunshine Heirloom,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sunshine+Heirloom,,Heirloom,Open Pollinated,Early,Normal,Determinate,3,9,Flattened Globe,Yellow,Yellow,,,,,,,,,ft.,oz.
869,869,Sunstart,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sunstart,,Commercial,Hybrid,Mid,Normal,Determinate,3,10,Round,Red,Red,,,,,,,"Verticillium Wilt, Tobbacco Mosaic Virus",,ft.,oz.
870,870,SunSugar,https://njaes.rutgers.edu/tomato-varieties/variety.php?SunSugar,,,Hybrid,Mid,Normal,Indeterminate,6,0.5,Cherry,Orange,Orange,,"Fruit is 1.25"" long.",,,,,,,ft.,oz.
871,871,Super Boy 785,https://njaes.rutgers.edu/tomato-varieties/variety.php?Super+Boy+785,,Garden,Hybrid,Late,Normal,Semi-Determinate,3,8,Round,Red,Red,Tomato Flavor,,,,,,,,ft.,oz.
872,872,Super Bush,https://njaes.rutgers.edu/tomato-varieties/variety.php?Super+Bush,,Garden,Hybrid,Mid,Narrow,Determinate,,6,Flattened Globe,Red,Red,,Compact plants.,,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Nematodes",,,oz.
873,873,Super Fantastic,https://njaes.rutgers.edu/tomato-varieties/variety.php?Super+Fantastic,,Garden,Hybrid,Mid,Normal,Indeterminate,6,10,Round,Red,Red,,,,,,,"Verticillium Wilt, Fusarium Wilt Race 1",,ft.,oz.
874,874,Super Marmande,https://njaes.rutgers.edu/tomato-varieties/variety.php?Super+Marmande,,Garden,,Mid,Narrow,Semi-Determinate,4,8,Flattened Globe,Red,Red,,,,,,,,,ft.,oz.
875,875,Super Snow White,https://njaes.rutgers.edu/tomato-varieties/variety.php?Super+Snow+White,,Heirloom,Open Pollinated,Mid,Narrow,Indeterminate,7,1.25,Cherry,White,White,,Larger fruit than 'Snow White'.,,,,Commercial,,,ft.,oz.
876,876,Super Sweet 100,https://njaes.rutgers.edu/tomato-varieties/variety.php?Super+Sweet+100,,Garden,Hybrid,Mid,Normal,Indeterminate,6,1,Cherry,Red,Red,,Fruit grow in clusters. High in Vitamin C.,,,Fresh,Commercial,"Verticillium Wilt, Fusarium Wilt Race 1",,ft.,oz.
877,877,Supernova,https://njaes.rutgers.edu/tomato-varieties/variety.php?Supernova,,Garden,Open Pollinated,Early,Normal,Indeterminate,8,0.5,Grape,Red,Red,,Red with yellow stripes inside and out,USA,,,,,,ft.,oz.
878,878,SuperSauce,https://njaes.rutgers.edu/tomato-varieties/variety.php?SuperSauce,,,Hybrid,Late,,Indeterminate,4,12,Plum,Red,Red,,,,,,,,,ft.,oz.
879,879,Supersonic,https://njaes.rutgers.edu/tomato-varieties/variety.php?Supersonic,,Garden,Hybrid,,Normal,Indeterminate,,,Flattened Globe,Red,Red,,Has been popular for a long time.,,,Fresh,Commercial,"Verticillium Wilt, Fusarium Wilt Race 1",,,
880,880,Supersteak,https://njaes.rutgers.edu/tomato-varieties/variety.php?Supersteak,,Garden,Hybrid,Late,Normal,Indeterminate,6,1.5,Beefsteak,Red,Red,,,USA,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Nematodes",,ft.,lbs.
881,881,Supertasty,https://njaes.rutgers.edu/tomato-varieties/variety.php?Supertasty,,Garden,Hybrid,Early,Normal,Semi-Determinate,4,8,Flattened Globe,Red,Red,,Space saving plant habit. VFFT.,,,,,,,ft.,oz.
882,882,Supremo,https://njaes.rutgers.edu/tomato-varieties/variety.php?Supremo,,Garden,Hybrid,Mid,Normal,Determinate,3,8,Plum,Red,Red,,,,,,,,,ft.,oz.
883,883,SVR 1400,https://njaes.rutgers.edu/tomato-varieties/variety.php?SVR+1400,,Commercial,Hybrid,,Normal,,,,,Red,Red,,,,,,Commercial,,,,
884,884,Sweet 100,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sweet+100,,Garden,Hybrid,Mid,Normal,Indeterminate,5,0.4,Cherry,Red,Red,,,,,,,,,ft.,oz.
885,885,Sweet Aperitif,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sweet+Aperitif,,Specialty,Open Pollinated,Late,Normal,Indeterminate,7,1,Cherry,Red,Red,,,,,,,,,ft.,oz.
886,886,Sweet Aroma,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sweet+Aroma,,,Hybrid,Mid,,Indeterminate,5,4,Plum,Red,Red,,,,,,,,,ft.,oz.
887,887,Sweet Baby Girl,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sweet+Baby+Girl,,,Hybrid,Early,Narrow,,5,0.35,Cherry,Red,,,Compact plants.,,,,,,,ft.,oz.
888,888,Sweet Canary,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sweet+Canary,,Commercial,Hybrid,Mid,Normal,Semi-Determinate,4,0.75,Grape,Yellow,Yellow,,,,,,,,,ft.,oz.
889,889,Sweet Carnernos Pink,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sweet+Carnernos+Pink,,,Open Pollinated,Early,,Indeterminate,7,7,Round,Bi-color,Bi-color,,Pink fruit with gold stripes.,,,,,,,ft.,oz.
890,890,Sweet Chelsea,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sweet+Chelsea,,Garden,Hybrid,Early,Narrow,Indeterminate,5,0.7,Cherry,Red,Red,Sweet,Sweet flavor.,,,Fresh,Commercial,"Verticillium Wilt, Fusarium Wilt Race 1, Nematodes, Tobbacco Mosaic Virus",,ft.,oz.
891,891,Sweet Chéri,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sweet+Chéri,No information; ,,,,,,,,,,,,,,,,,,,,
892,892,Sweet Cluster,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sweet+Cluster,,Garden,Hybrid,Early,Narrow,Indeterminate,8,4,Round,Red,Red,Sweet,"Unique cluster variety similar to what can be found in supermarkets, sweet?",,,,,"Verticillium Wilt, Fusarium Wilt Race 1, Nematodes, Tobbacco Mosaic Virus",,ft.,oz.
893,893,Sweet Elite,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sweet+Elite,,Commercial,Hybrid,Mid,Normal,Indeterminate,7,0.8,Grape,Red,Red,,A large grape.,,,,,,,ft.,oz.
894,894,Sweet Gold,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sweet+Gold,,,Hybrid,Early,Narrow,Indeterminate,5,0.4,Cherry,Golden,Golden,Sweet,Sweet fruity flavor?,,,,,"Fusarium Wilt Race 1, Tobbacco Mosaic Virus",,ft.,oz.
895,895,Sweet Golden Roma,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sweet+Golden+Roma,,Garden,Hybrid,Mid,Normal,Determinate,4,4,Plum,Yellow,Yellow,,"Productive and tasty, VF",,,,,,,ft.,oz.
896,896,Sweet Hearts,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sweet+Hearts,,Commercial,Hybrid,Early,Normal,Indeterminate,6,0.6,Grape,Red,Red,,,,,,,,,ft.,oz.
897,897,Sweet Million,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sweet+Million,,Garden,Hybrid,Mid,Normal,,6,0.6,Cherry,Red,Red,,Form in clusters; crack resistant.,,,,,"Fusarium Wilt Race 1, Nematodes, Tobbacco Mosaic Virus",,ft.,oz.
898,898,Sweet Olive,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sweet+Olive,,,Hybrid,Early,Normal,Determinate,5,0.35,Grape,Red,Red,Sweet,,,,,,,,ft.,oz.
899,899,Sweet Orange,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sweet+Orange,,Specialty,Hybrid,Early,Normal,Indeterminate,7,0.5,Cherry,Orange,Orange,,,,,,,,,ft.,oz.
900,900,Sweet Quartz,https://njaes.rutgers.edu/tomato-varieties/variety.php?Sweet+Quartz,,,Hybrid,Mid,Narrow,Indeterminate,7,1,Cherry,Deep Pink,,,"Elongated cherry shape, sugar/acid flavor?",Japan,,,,,,ft.,inch
